penalty	tool	species	genome	alignment_allworse_all_suboptimal	alignment_allworse_single_miss	alignment_allbetter	total_reads	alignment_allworse_all_suboptimalper	alignment_allworse_single_missper	alignment_allbetterper	total_alignments_reads_with_problem	total_alignments	total_best_alignments	total_best_alignments2
minimap	mapper1.kmer18	Bactor	am_BaFr	0	100386	14720	3208649	0	99945.4	14720.0	104580	3209401	9794284	9810198
minimap	mapper1.kmer24	Bactor	am_BaFr	0	100625	14337	3200416	0	100147.00000000001	14337.0	104768	3201165	9765707	9781188
mapper	bowtie.all	Bactor	am_BaFr	2287983	9200	114435	3193895	4150324.562633448	22808.197303471265	114435.0	18674075	3209304	15561279	15571452
mapper	minimap.all	Bactor	am_BaFr	508	1670381	23217	3215140	492.73333333333335	854050.7500000006	23217.0	3342580	3220183	3397646	3430714
mapper	bwa.all	Bactor	am_BaFr	831	1671391	35998	3223544	1969.3949494949497	837291.3333333334	35998.0	3351979	3229726	3436098	3451588
mapper	bowtie	Bactor	am_BaFr	27	1665337	9497	3193694	27.0	845439.833333335	9497.0	3323992	3195053	3374075	3387486
mapper	minimap	Bactor	am_BaFr	510	1670652	23029	3215140	493.23333333333335	854513.1666666672	23029.0	3343101	3220183	3398134	3431409
mapper	bwa	Bactor	am_BaFr	234	1676487	19172	3223512	209.74999999999991	843183.166666667	19172.0	3357376	3229225	3405929	3426021
mapper	mapper1	Bactor	am_BaFr	4	2536	23597	3208336	4.833333333333333	3722.651487006288	23597.0	5438	3209469	14830659	14847893
mapper	mapper1.kmer12	Bactor	am_BaFr	0	3153772	568	3208417	0	3154206.166666667	568.0	3155889	3209558	3260697	3261904
mapper	mapper1.kmer18	Bactor	am_BaFr	2	99286	11596	3206425	2.5	99642.46666666665	11596.0	102499	3207456	9806898	9820146
mapper	mapper1.kmer24	Bactor	am_BaFr	2	99502	11114	3198181	2.5	99766.29999999999	11114.0	102639	3199114	9778907	9791498
